Time,Position,Sound 1,Sound 2,Temperature,Humidity,Light,Position Back,N Mov Back,N Back pos,N Back total,Position Front R,N Mov Front R,N Front pos R,N Front total R,Position Front L,N Mov Front L,N Front pos L,N Front total L
10:21:34,LEFT,8,10,24.32,44.56,570.75,HIGH,0,1,1,UP,1,1,1,DOWN,1,1,1
10:22:04,LEFT,9,7,24.33,44.57,570.75,HIGH,0,1,1,UP,1,1,1,DOWN,1,1,1
10:22:34,LEFT,10,8,24.34,44.55,570.5,HIGH,0,0,1,UP,1,1,1,DOWN,1,1,1
10:23:04,LEFT,7,10,24.35,44.54,570.5,HIGH,0,1,1,UP,1,1,1,DOWN,1,1,1
10:23:34,LEFT,8,7,24.35,44.54,570.75,HIGH,0,0,1,UP,1,1,1,DOWN,1,1,1
10:24:04,LEFT,8,9,24.35,44.53,570.5,HIGH,0,0,1,UP,1,1,1,DOWN,1,1,1
10:24:34,LEFT,7,10,24.36,44.52,570.75,HIGH,0,0,1,UP,1,1,1,DOWN,1,1,1
10:25:04,LEFT,10,9,24.39,44.4,571,HIGH,1,0,0,UP,1,1,1,DOWN,1,1,1
10:25:34,LEFT,10,8,24.4,44.41,570.25,HIGH,1,0,0,UP,1,1,1,DOWN,1,1,1
10:26:04,LEFT,10,10,24.39,44.42,570.5,HIGH,1,1,0,UP,1,1,1,DOWN,1,1,1
10:26:34,LEFT,7,9,24.4,44.39,570.25,HIGH,1,0,0,UP,1,1,1,DOWN,1,1,1
10:27:04,LEFT,9,7,24.4,44.39,570.5,HIGH,1,0,0,UP,1,1,1,DOWN,1,1,1
10:27:34,LEFT,10,10,24.39,44.38,570.25,HIGH,1,0,0,UP,1,1,1,DOWN,1,1,1
10:28:04,LEFT,10,9,24.4,44.38,570.25,HIGH,1,0,0,UP,1,1,1,DOWN,1,1,1
10:28:34,LEFT,8,10,24.4,44.37,570.25,HIGH,1,0,0,UP,1,1,1,DOWN,1,1,1
10:29:04,LEFT,9,10,24.39,44.36,570.75,HIGH,1,1,0,UP,1,1,1,DOWN,1,1,1
10:29:34,LEFT,7,7,24.4,44.33,570.5,HIGH,1,1,0,UP,1,1,1,DOWN,1,1,1
10:30:04,LEFT,8,9,24.4,44.33,570.25,HIGH,1,1,0,UP,1,1,1,DOWN,1,1,1
10:30:34,LEFT,10,8,24.4,44.32,570.5,HIGH,1,1,0,UP,1,1,1,DOWN,1,1,1
10:31:04,LEFT,10,7,24.41,44.33,570.25,HIGH,1,1,0,UP,1,1,1,DOWN,1,1,1
10:31:34,LEFT,7,10,24.41,44.33,570.5,HIGH,1,0,0,UP,1,1,1,UP,2,1,1
10:32:04,LEFT,9,8,24.4,44.3,570.25,HIGH,1,1,0,UP,1,1,1,UP,2,1,1
10:32:34,LEFT,8,7,24.41,44.29,570.5,HIGH,1,1,0,UP,1,1,1,UP,2,1,1
10:33:04,LEFT,10,8,24.41,44.31,570.25,HIGH,1,1,0,UP,1,1,1,UP,2,1,1
10:33:34,LEFT,7,10,24.41,44.28,570.25,HIGH,1,1,0,UP,1,1,1,UP,2,1,1
